experiment_name,mutation_type,crossover_type,survivor_method,selection_method,seed,accuracy,fitness,num_features,runtime_seconds
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,51,0.6913530866249714,0.6877892065339029,241,192.0564820766449
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,52,0.6761269461728663,0.6765142515555796,224,151.47237420082092
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,53,0.6689020716022192,0.6681547215848544,237,186.18614077568054
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,54,0.7006431434351312,0.7015788290916181,203,173.95157074928284
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,55,0.7140638311135121,0.7075145908593038,246,203.53605270385742
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,56,0.6541935253573212,0.6593456013930177,206,148.62150311470032
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,57,0.6807694438805874,0.6776924994925286,245,181.82527112960815
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,58,0.6833558165814487,0.6825916634947324,227,168.28391933441162
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,59,0.6815470339427785,0.6813923305485006,224,205.18116211891174
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,60,0.7181916648951785,0.7118010698342321,242,203.72008275985718
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,61,0.6619350617729907,0.6654558413099774,212,119.77249431610107
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,62,0.6732921655470329,0.6686772347066153,261,196.14547967910767
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,63,0.6774180014097316,0.6791047726973298,214,121.07328653335571
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,64,0.6910934903537809,0.6878412841755457,239,191.7407305240631
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,65,0.6846424763965853,0.6847496573283554,220,192.3076229095459
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,66,0.688516574469366,0.6863792027367152,233,188.93323922157288
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,67,0.7218019044696378,0.7189074283083883,215,152.8106861114502
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,68,0.6993526209766574,0.6942745017361345,246,203.01116967201233
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,69,0.6717409812605857,0.6727097402773843,223,197.96702098846436
